"Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Category","Outler_Age"
9.3,"1",0.016047301,"5",249.8092,"2","1","2",3735.138,"Food",18
5.92,"2",0.019278216,"15",48.2692,"2","3","3",443.4228,"Drinks",8
17.5,"1",0.016760075,"11",141.618,"2","1","2",2097.27,"Food",18
19.2,"2",0.108134654131881,"7",182.095,"1","3","1",732.38,"Food",19
8.93,"1",0.064299088571134,"10",53.8614,"1","3","2",994.7052,"Non Consumable",30
10.395,"2",0.0642573974698545,"1",51.4008,"2","3","3",556.6088,"Food",8
13.65,"2",0.012741089,"14",57.6588,"1","3","2",343.5528,"Food",30
19,"1",0.127469857,"14",107.7622,"2","3","4",4022.7636,"Food",32
16.2,"2",0.016687114,"6",96.9726,"3","2","2",1076.5986,"Food",15
19.2,"2",0.09444959,"6",187.8214,"3","2","2",4710.535,"Food",10
11.8,"1",0.0635953402378303,"7",45.5402,"2","1","2",1516.0266,"Food",18
18.5,"2",0.045463773,"5",144.1102,"3","1","2",2187.153,"Food",20
15.1,"2",0.1000135,"7",145.4786,"2","1","2",1589.2646,"Food",18
17.6,"2",0.047257328,"14",119.6782,"3","1","2",2145.2076,"Food",20
16.35,"1",0.0680243,"7",196.4426,"1","3","2",1977.426,"Food",30
9,"2",0.069088961,"3",56.3614,"3","1","2",1547.3192,"Food",20
11.8,"1",0.008596051,"9",115.3492,"2","3","3",1621.8888,"Non Consumable",8
9,"2",0.069196376,"3",54.3614,"2","1","2",718.3982,"Food",18
8.26,"1",0.034237682,"8",113.2834,"2","3","4",2303.668,"Drinks",32
13.35,"1",0.10249212,"5",230.5352,"3","2","2",2748.4224,"Food",13
18.85,"2",0.138190277,"14",250.8724,"1","3","2",3775.086,"Food",30
8.315,"2",0.035399923,"1",144.5444,"2","3","4",4064.0432,"Food",32
14.6,"1",0.025698134,"10",196.5084,"3","2","2",1587.2672,"Non Consumable",13
15.5,"1",0.057556998,"1",107.6938,"3","1","1",214.3876,"Food",32
13.85,"2",0.025896485,"6",165.021,"3","1","2",4078.025,"Food",20
13,"1",0.099887103,"10",45.906,"3","2","2",838.908,"Non Consumable",10
7.645,"2",0.066693437,"14",42.3112,"3","2","2",1065.28,"Food",13
11.65,"1",0.019356132,"8",39.1164,"1","3","2",308.9312,"Drinks",30
5.925,"2",0.161466534,"5",45.5086,"1","3","1",178.4344,"Food",19
14.5,"2",0.072221801,"4",43.6454,"3","1","1",125.8362,"Food",32
19.25,"1",0.170348551,"5",55.7956,"1","3","1",163.7868,"Food",19
18.6,"1",0.080829372,"9",96.4436,"2","3","3",2741.7644,"Non Consumable",8
18.7,"1",0.0642573974698545,"14",256.6672,"2","3","3",3068.0064,"Food",8
17.85,"1",0.0648003527697595,"2",93.1436,"3","2","2",2174.5028,"Food",15
17.5,"1",0.097904029,"15",174.8738,"3","1","2",2085.2856,"Drinks",20
10,"1",0.089291137,"9",146.7102,"2","1","2",3791.0652,"Non Consumable",18
20.2,"2",0.059511812,"7",128.0678,"2","3","4",2797.6916,"Food",32
8.85,"2",0.113123893,"15",122.5388,"2","3","3",1609.9044,"Drinks",8
6.385,"2",0.123111453,"14",36.9874,"2","3","4",388.1614,"Food",32
15.25,"1",0.026480954,"14",87.6198,"2","3","4",2180.495,"Food",32
13.35,"1",0.102511504,"5",230.6352,"3","1","2",3435.528,"Food",20
9.8,"1",0.02681843,"11",126.002,"1","3","2",2150.534,"Food",30
13.6,"1",0.117818348,"14",192.9136,"2","1","2",2527.3768,"Food",18
21.35,"1",0.069102831,"4",259.9278,"2","3","3",6768.5228,"Food",8
12.15,"2",0.042277867,"4",126.5046,"1","3","2",373.5138,"Food",30
6.42,"1",0.089498926,"5",178.1002,"1","3","1",358.2004,"Food",19
19.6,"1",0.0648003527697595,"9",153.3024,"3","2","2",2428.8384,"Non Consumable",15
10,"1",0.025879577,"4",265.2226,"3","2","2",5815.0972,"Food",15
15.85,"2",0.121632721,"1",60.622,"3","1","2",2576.646,"Food",20
10.195,"2",0.255394896,"5",196.8794,"3","1","1",780.3176,"Food",32
7.39,"1",0.067779712,"9",143.8812,"3","1","2",3134.5864,"Non Consumable",20
10.195,"1",0.159803853,"6",141.5154,"1","3","2",850.8924,"Food",30
9.895,"2",0.028696932,"4",117.0492,"1","3","2",810.9444,"Food",30
10.895,"1",0.065041581,"7",196.3794,"3","2","2",3121.2704,"Food",10
12.15,"1",0.028760013,"10",151.4708,"3","2","2",4815.0656,"Non Consumable",10
7.905,"1",0.010053105,"14",249.0408,"2","3","3",6258.52,"Food",8
9.195,"1",0.048157338,"10",106.1622,"3","2","2",2117.244,"Non Consumable",15
8.365,"1",0.071958197,"8",38.0506,"2","1","2",796.9626,"Drinks",18
15.1,"1",0.173481304,"14",194.511,"3","1","2",4910.275,"Food",20
5.94,"1",0.061082177,"4",180.0344,"3","1","1",892.172,"Food",32
10,"1",0.0642573974698545,"7",246.9144,"2","3","3",3185.1872,"Food",8
7.97,"2",0.040071131,"11",87.3514,"3","2","2",1062.6168,"Food",15
6.215,"1",0.012090074,"7",38.2848,"2","3","4",484.7024,"Food",32
15.5,"2",0.15028599,"6",51.0692,"3","1","1",147.8076,"Food",32
17.5,"1",0.026015519,"14",255.8356,"2","3","4",2543.356,"Food",32
17.7,"1",0.195068226,"14",185.4266,"1","3","1",184.4266,"Food",19
19.35,"1",0.033082215,"11",172.5738,"3","2","2",4865.6664,"Food",13
13.65,"2",0.078946455,"5",186.024,"3","2","2",1118.544,"Food",15
17.6,"1",0.041700756,"15",164.8526,"3","2","2",2302.3364,"Drinks",15
8.645,"1",0.143422643,"9",95.841,"3","1","2",2027.361,"Non Consumable",20
15.6,"2",0.105296072,"14",170.1764,"3","1","2",3435.528,"Food",20
15.85,"2",0.121531501,"1",59.222,"1","3","2",599.22,"Food",30
18.25,"1",0.0648003527697595,"16",164.7526,"3","2","2",4604.6728,"Food",15
7.855,"1",0.011324862,"4",189.6188,"3","2","2",2285.0256,"Food",10
7.825,"1",0.186357148,"10",254.3698,"2","1","2",5580.7356,"Non Consumable",18
8.39,"2",0.024205661,"6",114.0176,"3","1","2",2290.352,"Food",20
12.85,"1",0.033230816,"14",172.3422,"2","1","2",1207.0954,"Food",18
13.35,"1",0.113720344,"1",89.9804,"3","1","1",643.1628,"Food",32
19,"1",0.112556507,"6",104.9622,"3","2","2",1587.933,"Food",10
5.905,"1",0.0648003527697595,"4",222.5456,"3","2","2",5305.0944,"Food",15
7.76,"1",0.059352241,"14",101.87,"3","1","2",1697.79,"Food",20
11.8,"2",0.014087057,"6",180.3344,"3","1","2",1427.4752,"Food",20
16.75,"1",0.045230944,"14",187.9556,"2","3","3",4693.89,"Food",8
18.85,"1",0.293417759,"10",194.6136,"3","1","1",583.2408,"Non Consumable",32
12.6,"2",0.031382044,"1",171.3764,"2","3","4",3091.9752,"Food",32
15.5,"2",0.12639886,"7",177.0028,"3","2","2",2479.4392,"Food",10
6.055,"1",0.025403898,"7",160.992,"3","2","2",2716.464,"Food",13
20.2,"2",0.039057677,"3",155.963,"2","3","4",3285.723,"Food",32
6.305,"2",0.123115764,"14",95.6436,"3","1","2",661.8052,"Food",20
20.85,"1",0.039624006,"11",117.2808,"2","1","2",1523.3504,"Food",18
20.75,"1",0.040421193,"7",122.173,"1","3","1",369.519,"Food",19
8.895,"1",0.105274111,"5",39.9138,"2","1","2",690.4346,"Drinks",18
19.6,"1",0.033970195,"15",55.1614,"3","2","2",1381.535,"Drinks",15
19.7,"1",0.053212652,"7",57.893,"3","2","2",622.523,"Food",13
9.8,"1",0.024378706,"9",114.5492,"3","2","2",1274.3412,"Non Consumable",13
7.93,"1",0.009714595,"6",120.0414,"3","1","1",487.3656,"Food",32
12.15,"1",0.131383762,"6",246.046,"2","1","2",1231.73,"Food",18
8.75,"2",0.07461309,"7",187.4556,"3","2","2",3755.112,"Food",13
12.15,"1",0.028459761,"10",149.9708,"2","3","4",4363.6532,"Non Consumable",32
8.75,"2",0.074627201,"7",187.8556,"3","1","2",1314.2892,"Food",20
13.3,"1",0.063695084,"6",151.0708,"3","2","2",1805.6496,"Food",15
20.6,"2",0.045797829,"14",178.5344,"2","3","4",2854.9504,"Food",32
8.31,"2",0.115857223,"14",179.1028,"2","1","2",3896.2616,"Food",18
16.75,"2",0.024832806,"15",38.7822,"1","3","2",667.7974,"Drinks",30
19.75,"1",0.034027909,"14",212.0902,"2","3","3",3185.853,"Food",8
17.1,"2",0.0467696,"4",141.1838,"1","3","2",2247.7408,"Food",30
10.5,"2",0.116576702,"1",163.121,"1","3","2",1794.331,"Food",30
6.635,"2",0.0648003527697595,"1",121.3098,"3","2","2",2530.7058,"Food",15
9.395,"1",0.278974075,"15",225.372,"3","1","1",679.116,"Drinks",32
14.15,"1",0.035913805,"15",41.4138,"1","3","2",812.276,"Drinks",30
13.3,"1",0.079806266,"5",232.53,"3","1","2",699.09,"Food",20
8.89,"1",0.005505481,"6",102.4016,"3","2","2",2732.4432,"Food",10
6.69,"2",0.064625342,"11",176.937,"3","1","1",176.437,"Food",32
6.195,"1",0.071636937,"14",121.7098,"2","3","4",4097.3332,"Food",32
9.1,"2",0.0648003527697595,"2",173.2054,"3","2","2",3151.8972,"Food",15
