"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Category","Outler_Age"
"FDA15",9.3,"1",0.016047301,"5",249.8092,"OUT049",1999,"2","1","2",3735.138,"Food",18
"DRC01",5.92,"2",0.019278216,"15",48.2692,"OUT018",2009,"2","3","3",443.4228,"Drinks",8
"FDN15",17.5,"1",0.016760075,"11",141.618,"OUT049",1999,"2","1","2",2097.27,"Food",18
"FDX07",19.2,"2",0.108134654131881,"7",182.095,"OUT010",1998,"1","3","1",732.38,"Food",19
"NCD19",8.93,"1",0.064299088571134,"10",53.8614,"OUT013",1987,"1","3","2",994.7052,"Non Consumable",30
"FDP36",10.395,"2",0.0642573974698545,"1",51.4008,"OUT018",2009,"2","3","3",556.6088,"Food",8
"FDO10",13.65,"2",0.012741089,"14",57.6588,"OUT013",1987,"1","3","2",343.5528,"Food",30
"FDP10",19,"1",0.127469857,"14",107.7622,"OUT027",1985,"2","3","4",4022.7636,"Food",32
"FDH17",16.2,"2",0.016687114,"6",96.9726,"OUT045",2002,"3","2","2",1076.5986,"Food",15
"FDU28",19.2,"2",0.09444959,"6",187.8214,"OUT017",2007,"3","2","2",4710.535,"Food",10
"FDY07",11.8,"1",0.0635953402378303,"7",45.5402,"OUT049",1999,"2","1","2",1516.0266,"Food",18
"FDA03",18.5,"2",0.045463773,"5",144.1102,"OUT046",1997,"3","1","2",2187.153,"Food",20
"FDX32",15.1,"2",0.1000135,"7",145.4786,"OUT049",1999,"2","1","2",1589.2646,"Food",18
"FDS46",17.6,"2",0.047257328,"14",119.6782,"OUT046",1997,"3","1","2",2145.2076,"Food",20
"FDF32",16.35,"1",0.0680243,"7",196.4426,"OUT013",1987,"1","3","2",1977.426,"Food",30
"FDP49",9,"2",0.069088961,"3",56.3614,"OUT046",1997,"3","1","2",1547.3192,"Food",20
"NCB42",11.8,"1",0.008596051,"9",115.3492,"OUT018",2009,"2","3","3",1621.8888,"Non Consumable",8
"FDP49",9,"2",0.069196376,"3",54.3614,"OUT049",1999,"2","1","2",718.3982,"Food",18
"DRI11",8.26,"1",0.034237682,"8",113.2834,"OUT027",1985,"2","3","4",2303.668,"Drinks",32
"FDU02",13.35,"1",0.10249212,"5",230.5352,"OUT035",2004,"3","2","2",2748.4224,"Food",13
